,0,1,2,3,4,5,6,7,8,9,10
134,nitrophenol,50,10.0,15.0,0,0.423719386,0.566233067,0.673993003,0.745725307,0.772082175,0.778828384
135,p-hydroxybenzoic acid,50,10.0,15.0,0,0.40101004,0.598629231,0.737269284,0.804665424,0.812601455,0.817892142
136,quinol,50,10.0,15.0,0,0.246671422,0.378982406,0.399310509,0.414170233,0.4159534,0.417379933
137,p-Hydroxybenzaldehyde,50,10.0,15.0,0,0.345114441,0.505101039,0.647306213,0.742822151,0.770898083,0.773798107
138,p-Hydroxyacetophenone,50,10.0,15.0,0,0.381147232,0.581159784,0.725266725,0.784787247,0.796912263,0.800815865
139,p-hydroxyanisole,50,10.0,15.0,0,0.287259236,0.436059362,0.546731923,0.599305336,0.613119672,0.617382381
140,Methyl 4-hydroxybenzoate,50,10.0,15.0,0,0.837914485,0.947425829,0.981457243,1.0,1.0,1.0
141,p-Hydroxybenzyl Alcohol,50,10.0,15.0,0,0.36937931,0.538482759,0.604,0.621931034,0.624413793,0.629103448
142,4-acetamidophenol,50,10.0,15.0,0,0.275350093,0.406782521,0.522692762,0.603425004,0.633457061,0.643242787
143,p-methylphenol,50,10.0,15.0,0,0.225967756,0.294939219,0.329683593,0.38477455,0.421156134,0.459781016
144,phenol,50,15.0,15.0,0,0.287784679,0.428412168,0.47061634,0.474597866,0.475871954,0.476986781
145,chlorophenol,50,15.0,15.0,0,0.549238579,0.729159616,0.761534123,0.766723068,0.768866328,0.769317541
146,nitrophenol,50,15.0,15.0,0,0.532583986,0.675459171,0.743531916,0.763143651,0.765561289,0.765723668
147,p-hydroxybenzoic acid,50,15.0,15.0,0,0.512790698,0.716453488,0.789825581,0.802209302,0.802848837,0.803081395
148,quinol,50,15.0,15.0,0,0.229388537,0.308962546,0.319851621,0.32521838,0.33339775,0.33521838
149,p-Hydroxybenzaldehyde,50,15.0,15.0,0,0.448087807,0.636083005,0.741976791,0.772034528,0.774492654,0.777453839
150,p-Hydroxyacetophenone,50,15.0,15.0,0,0.519636581,0.731660893,0.809851917,0.820396665,0.821335668,0.821399114
151,p-hydroxyanisole,50,15.0,15.0,0,0.362438089,0.513500559,0.591628056,0.617031475,0.617750439,0.620546413
152,Methyl 4-hydroxybenzoate,50,15.0,15.0,0,0.950434578,1.0,1.0,1.0,1.0,1.0
153,p-Hydroxybenzyl Alcohol,50,15.0,15.0,0,0.349086236,0.570816676,0.599229012,0.619645917,0.620359794,0.622644203
154,4-acetamidophenol,50,15.0,15.0,0,0.365846763,0.519555179,0.590707756,0.60126284,0.602487984,0.604184337
155,p-methylphenol,50,15.0,15.0,0,0.253912257,0.333695161,0.383808232,0.415377657,0.429217549,0.435187698
156,phenol,50,10.0,40.0,0,0.481095406,0.75335689,0.837632509,0.855300353,0.857243816,0.857420495
157,chlorophenol,50,10.0,40.0,0,0.775097784,0.979628422,0.989569752,1.0,1.0,1.0
158,nitrophenol,50,10.0,40.0,0,0.614222032,0.817158931,0.92784095,0.970797874,0.982311855,0.986650457
159,p-hydroxybenzoic acid,50,10.0,40.0,0,0.659730034,0.91837739,0.976237345,0.996344207,1.0,1.0
160,quinol,50,10.0,40.0,0,0.362949887,0.609591056,0.654408159,0.668333824,0.670393253,0.672844954
161,p-Hydroxybenzaldehyde,50,10.0,40.0,0,0.528301887,0.80514873,0.948351439,0.981513246,0.98654176,0.987084195
162,p-Hydroxyacetophenone,50,10.0,40.0,0,0.720071805,0.955009537,0.991489157,0.99608918,0.996618102,0.996746326
163,p-hydroxyanisole,50,10.0,40.0,0,0.507973652,0.757843647,0.882301959,0.925203675,0.934564049,0.937077483
164,Methyl 4-hydroxybenzoate,50,10.0,40.0,0,0.974175824,1.0,1.0,1.0,1.0,1.0
165,p-Hydroxybenzyl Alcohol,50,10.0,40.0,0,0.464579901,0.775864909,0.848023064,0.87446458,0.883113674,0.886326194
166,4-acetamidophenol,50,10.0,40.0,0,0.542864919,0.803773927,0.912909371,0.95581965,0.970697632,0.977410868
167,p-methylphenol,50,10.0,40.0,0,0.360894386,0.475547098,0.560323501,0.678972407,0.767745005,0.827592769
168,phenol,50,15.0,30.0,0,0.525453585,0.718513299,0.74652105,0.749691739,0.751453232,0.753390875
169,chlorophenol,50,15.0,30.0,0,0.788399072,0.93225058,0.953905646,0.956844548,0.956999227,0.959783449
170,nitrophenol,50,15.0,30.0,0,0.706802155,0.879659235,0.935635758,0.949454689,0.950702992,0.950921992
171,p-hydroxybenzoic acid,50,15.0,30.0,0,0.745965206,0.936840634,0.967581919,0.971494446,0.979738699,0.989520017
172,quinol,50,15.0,30.0,0,0.395337101,0.506661284,0.522809851,0.525736778,0.526746064,0.530682277
173,p-Hydroxybenzaldehyde,50,15.0,30.0,0,0.685086198,0.887218584,0.943380003,0.95139078,0.951548416,0.951777705
